"","PointID","Round","n","count","percent_grazed"
"549","BRBE184_18","2",62,25,40.3225806451613
"550","BRBE185_15","2",53,1,1.88679245283019
"551","BRBE185_16","2",46,12,26.0869565217391
"552","BRBE185_17","2",61,18,29.5081967213115
"553","BRBE185_18","2",62,33,53.2258064516129
"554","BRBE186_15","2",58,1,1.72413793103448
"555","BRBE186_16","2",58,29,50
"556","BRBE186_17","2",58,7,12.0689655172414
"557","BRBE186_18","2",58,33,56.8965517241379
"558","BRBE187_15","2",29,0,0
"559","BRBE187_16","2",48,45,93.75
"560","BRBE187_17","2",51,4,7.84313725490196
"561","BRBE187_18","2",54,42,77.7777777777778
"562","BRBE188_15","2",64,5,7.8125
"563","BRBE188_16","2",63,45,71.4285714285714
"564","BRBE188_17","2",61,7,11.4754098360656
"565","BRBE188_18","2",46,33,71.7391304347826
"566","BRBE189_15","2",33,3,9.09090909090909
"567","BRBE190_15","2",29,0,0
"568","BRBE190_16","2",37,30,81.0810810810811
"569","BRBE190_17","2",63,25,39.6825396825397
"570","BRBE190_18","2",63,44,69.8412698412698
"571","BRBE192_15","2",54,0,0
"572","BRBE192_16","2",41,20,48.780487804878
"573","BRBE192_17","2",53,7,13.2075471698113
"574","BRBE192_18","2",54,31,57.4074074074074
"575","BRBE193_15","2",50,0,0
"576","BRBE193_16","2",56,36,64.2857142857143
"577","BRBE193_17","2",58,0,0
"578","BRBE193_18","2",55,9,16.3636363636364
"579","BRBE194_15","2",58,0,0
"580","BRBE194_16","2",58,8,13.7931034482759
"581","BRBE194_17","2",56,4,7.14285714285714
"582","BRBE194_18","2",58,30,51.7241379310345
"583","BRBE198_15","2",61,0,0
"584","BRBE198_16","2",68,54,79.4117647058823
"585","BRBE198_17","2",73,28,38.3561643835616
"586","BRBE198_18","2",74,51,68.9189189189189
"587","BRBE215_16","2",35,10,28.5714285714286
"588","BRBE215_17","2",49,3,6.12244897959184
"589","BRBE215_18","2",36,10,27.7777777777778
"590","BRBE216_16","2",59,30,50.8474576271186
"591","BRBE216_17","2",57,8,14.0350877192982
"592","BRBE216_18","2",58,23,39.6551724137931
"593","BRBE232_16","2",82,2,2.4390243902439
"594","BRBE232_17","2",80,1,1.25
"595","BRBE232_18","2",87,0,0
"596","BRBE234_16","2",68,12,17.6470588235294
"597","BRBE234_17","2",58,20,34.4827586206897
"598","BRBE234_18","2",64,1,1.5625
"599","BRBE236_16","2",56,1,1.78571428571429
"600","BRBE236_17","2",56,1,1.78571428571429
"601","BRBE236_18","2",55,1,1.81818181818182
"602","BRBE238_16","2",57,0,0
"603","BRBE238_17","2",69,1,1.44927536231884
"604","BRBE238_18","2",69,0,0
"605","BRBE240_15","2",58,2,3.44827586206897
"606","BRBE240_17","2",58,8,13.7931034482759
"607","BRBE240_18","2",58,0,0
"608","BRBE242_16","2",76,1,1.31578947368421
"609","BRBE242_17","2",75,1,1.33333333333333
"610","BRBE242_18","2",67,0,0
"611","BRBE244_16","2",68,0,0
"612","BRBE244_17","2",65,1,1.53846153846154
"613","BRBE244_18","2",63,3,4.76190476190476
"614","BRBE246_16","2",61,0,0
"615","BRBE246_17","2",57,4,7.01754385964912
"616","BRBE246_18","2",60,0,0
"617","BRBE248_16","2",54,0,0
"618","BRBE248_17","2",54,54,100
"619","BRBE248_18","2",54,0,0
"620","BRBE250_16","2",55,0,0
"621","BRBE250_17","2",56,19,33.9285714285714
"622","BRBE250_18","2",56,0,0
"623","BRBE252_16","2",61,2,3.27868852459016
"624","BRBE252_17","2",57,0,0
"625","BRBE252_18","2",52,1,1.92307692307692
"626","BRBE254_16","2",67,0,0
"627","BRBE254_17","2",69,24,34.7826086956522
"628","BRBE254_18","2",71,0,0
"629","BRBE256_16","2",48,3,6.25
"630","BRBE256_17","2",49,49,100
"631","BRBE256_18","2",47,0,0
"632","BRBE258_16","2",45,0,0
"633","BRBE258_17","2",71,14,19.7183098591549
"634","BRBE258_18","2",63,0,0
"635","BRBE260_16","2",46,1,2.17391304347826
"636","BRBE260_17","2",50,50,100
"637","BRBE260_18","2",62,0,0
"638","BRBE262_16","2",43,0,0
"639","BRBE262_17","2",58,16,27.5862068965517
"640","BRBE262_18","2",63,0,0
"641","BRBE264_16","2",50,1,2
"642","BRBE264_17","2",51,51,100
"643","BRBE264_18","2",54,1,1.85185185185185
"644","BRBE266_16","2",47,0,0
"645","BRBE266_17","2",46,46,100
"646","BRBE266_18","2",48,2,4.16666666666667
"647","BRBE270_16","2",58,2,3.44827586206897
"648","BRBE270_17","2",56,1,1.78571428571429
"649","BRBE270_18","2",58,0,0
"650","BRBE272_16","2",55,0,0
"651","BRBE272_17","2",67,16,23.8805970149254
"652","BRBE272_18","2",62,0,0
"653","JISA000_15","2",28,0,0
"654","JISA000_16","2",40,11,27.5
"655","JISA000_17","2",43,0,0
"656","JISA000_18","2",55,9,16.3636363636364
"657","JISA001_15","2",57,0,0
"658","JISA001_16","2",61,14,22.9508196721311
"659","JISA001_17","2",58,2,3.44827586206897
"660","JISA001_18","2",59,22,37.2881355932203
"661","JISA002_15","2",54,0,0
"662","JISA002_16","2",65,7,10.7692307692308
"663","JISA002_17","2",63,0,0
"664","JISA003_15","2",47,1,2.12765957446809
"665","JISA004_15","2",42,0,0
"666","JISA005_15","2",49,0,0
"667","JISA006_15","2",77,3,3.8961038961039
"668","JISA006_16","2",75,34,45.3333333333333
"669","JISA006_17","2",64,6,9.375
"670","JISA007_15","2",47,0,0
"671","JISA008_15","2",58,0,0
"672","JISA008_16","2",58,38,65.5172413793103
"673","JISA008_17","2",58,11,18.9655172413793
"674","JISA008_18","2",62,17,27.4193548387097
"675","JISA010_15","2",60,0,0
"676","JISA010_16","2",58,20,34.4827586206897
